,unique_id,0,1,2,3,4,5,6,7,8,9
0,36921,-4.72142,11.614482,0.12908043,-3.2430193,2.5511694,-1.305857,-0.33731127,0.4614138,1.0467545,-4.8843627
1,28128,-2.486963,-1.2725093,0.5951899,-9.150629,21.124008,-0.16800617,-6.572193,-4.1629176,-5.531595,7.2420945
2,12608,0.92543083,-1.1208313,20.996067,-0.22070444,-0.98290265,-9.037803,-4.7823935,1.9457699,2.4555821,-9.259685
3,46347,-4.5908766,11.9068575,0.8306545,-6.449247,3.909479,-4.521243,0.7909293,0.6557134,1.6473988,-3.552656
4,32138,-6.4243255,13.021376,-1.0849901,-4.70656,5.1503334,-0.55676526,-3.2155998,0.83550084,1.0511429,-3.7252512
5,44400,-9.662348,-3.3094914,-3.4895656,0.5600801,8.268366,0.31623322,-16.207493,4.6152306,3.6923194,15.928095
6,28191,-0.6400065,11.4625845,2.157538,-3.601393,-0.39909703,0.07392545,2.6938252,-4.615096,1.6418442,-6.8090606
7,33712,-12.725575,-7.136761,-4.532443,-0.3330812,11.051665,2.5137029,-11.53701,1.6977463,5.4496317,16.411564
8,50264,-6.844823,11.6098795,-0.41531405,-5.548223,4.556237,-0.8521453,-4.9775257,2.9873772,0.9384662,-0.11446724
9,14324,-6.450313,-6.3775716,2.0399857,-3.9628077,8.233239,0.5261867,-12.64764,3.6675284,0.09984937,15.82415
10,4258,-5.547643,-2.945802,1.5844688,2.203742,3.754473,2.552802,2.7362974,-6.009076,7.6911,-4.95058
11,31428,-10.333587,-7.2761636,2.077346,17.085642,-9.198911,2.5999353,-6.7171907,3.9659228,4.433299,3.8446345
12,185,-0.46588394,-0.4234584,0.62768126,1.7368128,-3.3381274,1.831737,-13.020757,14.880667,-4.2534204,4.580213
13,12215,-2.488833,12.11712,3.9839776,-4.554547,0.7955943,-3.8187544,0.76498884,-2.5671444,2.2107825,-5.499431
14,13007,-1.3757796,12.474629,-0.21206962,-4.6529055,-0.5962997,0.26418662,2.8272777,-4.8180227,1.947482,-5.0222993
15,55485,-16.387457,-6.871656,9.561391,24.87075,-13.701745,6.962908,-12.693984,4.1292496,8.817113,-2.774548
16,5467,-7.4216075,-2.984347,2.5941865,20.950785,-9.034427,3.981625,-4.368009,2.4857068,-0.427677,-3.781032
17,27770,-2.2008512,11.535565,13.1567545,0.4464206,-7.0361347,-8.457789,-5.4404564,-0.27325505,4.4039,-5.9530663
18,521,-1.2716386,0.7991075,0.7862165,0.7878383,-0.37952948,2.5041184,-14.527349,14.129256,-4.102582,3.4776802
19,51451,-8.44353,11.19455,-0.8671558,-3.5021725,5.9725266,-0.3116693,-5.3460436,2.4866087,0.96449184,-1.6595911
20,30057,-16.480217,0.6842689,-0.13848792,24.274294,-8.637142,11.955661,-12.133491,-2.248281,1.1786431,3.118604
21,46561,-7.986072,-0.9946913,-7.402496,-6.4507694,19.814152,-0.31917095,-10.831397,4.3929462,2.507732,7.7905436
22,52695,1.0892824,-0.7195752,18.614685,-1.2278512,-3.0347621,-5.622654,-10.379871,6.910121,-1.598195,-3.1737857
23,6306,-6.2950225,-2.1966157,-2.7963724,-1.0143251,6.223332,0.3686973,-10.941272,0.0032547265,1.4747629,15.598293
24,39674,-7.1157603,6.128897,-2.1761272,-1.5677998,16.518936,0.1653151,-8.725194,-0.444454,-0.48205104,-0.43039927
25,27696,-0.63816017,1.7369173,14.510013,2.5402448,-15.309972,-7.4043584,-10.657314,10.085635,8.0296135,-0.32267627
26,46004,-7.556216,2.5411677,1.0714475,-10.943862,22.413658,-1.3490064,-8.225388,1.2218211,-3.0203018,3.7698474
27,33224,-6.6949787,13.715304,-0.31710157,5.2838955,0.47622758,6.610385,-7.362503,-7.8400364,-0.46423063,-2.850739
28,48329,-0.46362492,-9.080529,-1.5089219,0.82613975,-5.001296,4.655753,-3.220653,-7.799567,23.325377,-0.6542138
29,20833,-5.6364474,-6.68172,2.173247,24.05012,-17.593319,10.141408,-8.938586,-1.3054584,6.6705694,-0.07537029
30,15079,-8.75204,-9.668431,-3.5567863,-1.3042243,5.790105,4.1616917,-17.084923,10.864359,3.9007812,18.444967
31,45544,19.634914,-8.513506,1.5072786,-7.1629744,-4.306235,-5.695394,3.3779607,-6.0222335,4.949521,2.1684787
32,40475,-2.1237454,-2.8718064,-1.8601873,0.7862485,2.0340507,3.2966585,15.254369,-13.102172,3.4266846,-2.6089976
