,unique_id,0
0,36921,1
1,28128,4
2,12608,2
3,46347,1
4,32138,1
5,44400,9
6,28191,1
7,33712,9
8,50264,1
9,14324,9
10,4258,8
11,31428,3
12,185,7
13,12215,1
14,13007,1
15,55485,3
16,5467,3
17,27770,2
18,521,7
19,51451,1
20,30057,3
21,46561,4
22,52695,2
23,6306,9
24,39674,4
25,27696,2
26,46004,4
27,33224,1
28,48329,8
29,20833,3
30,15079,9
31,45544,0
32,40475,6
33,2861,5
34,35020,2
35,51508,6
36,48166,7
37,21408,8
38,26781,3
39,8412,4
40,34177,0
41,21809,0
42,5981,0
43,11560,2
44,21037,4
45,24693,0
46,50838,1
47,6964,9
48,59012,0
49,29887,0
50,3484,4
51,59975,4
52,5199,8
53,35418,4
54,13030,0
55,19077,5
56,43027,3
57,22991,4
58,31958,2
59,12034,4
60,9009,5
61,47349,7
62,13478,3
63,2038,5
64,16826,8
65,31592,1
66,38656,5
67,34273,0
68,54887,7
69,14030,3
70,13070,5
71,11085,7
72,18069,3
73,6192,1
74,57446,2
75,52296,8
76,11323,4
77,27133,3
78,31232,6
79,24102,1
80,51379,2
81,50285,9
82,4545,7
83,28355,1
84,58125,7
85,19743,9
86,36450,2
87,6301,9
88,37713,7
89,48368,1
90,32008,2
91,17388,7
92,35709,6
93,9300,3
94,14594,7
95,14623,5
96,24091,6
97,27930,3
98,54032,6
99,35941,9
100,32472,1
101,11528,7
102,49988,9
103,12859,2
104,15727,6
105,25673,6
106,59561,7
107,25276,8
108,2428,5
109,46608,5
110,58870,5
111,44045,0
112,18709,9
113,57233,6
114,5387,7
115,18820,9
116,25982,7
117,40509,1
118,29240,2
119,16851,4
120,49513,4
121,41619,3
122,29349,9
123,30353,2
124,33420,5
125,48391,2
126,6224,7
127,48210,0
128,32735,8
129,723,7
130,54147,3
131,37269,0
132,29650,3
133,21230,1
134,39711,1
135,56068,8
136,24616,6
137,6391,2
138,21592,9
139,40877,0
140,49903,0
141,36260,0
142,44046,1
143,44397,3
144,9690,5
145,14884,9
146,6336,4
147,21353,0
148,39921,2
149,54732,7
150,54240,2
151,10046,7
152,51742,1
153,197,8
154,10691,0
155,41204,2
156,10640,7
157,54395,2
158,48687,5
159,15593,9
160,26011,2
161,24296,4
162,13307,1
163,29237,3
164,12735,6
165,15248,8
166,30566,5
167,24106,5
168,33034,6
169,949,0
170,53115,8
171,17350,7
172,42157,0
173,38080,2
174,40622,2
175,37194,6
176,2179,3
177,18532,7
178,33346,4
179,26621,5
180,36899,3
181,13092,5
182,58463,4
183,1193,8
184,58178,8
185,26430,9
186,50514,8
187,9279,3
188,6921,2
189,17082,3
190,58716,8
191,20625,0
192,35090,2
193,38685,8
194,1379,4
195,58701,7
196,2486,6
197,14365,9
198,16660,1
199,21618,1
200,5068,7
201,37195,6
202,2639,5
203,5893,9
204,55555,8
205,24322,1
206,9795,4
207,41529,8
208,39150,7
209,31344,5
210,41672,2
211,41339,7
212,5233,9
213,720,8
214,20189,7
215,21414,2
216,57386,7
217,17887,7
218,8032,1
219,54150,6
220,30075,2
221,9581,5
222,45010,6
223,46026,1
224,13020,6
225,3794,6
226,49553,7
227,26825,3
228,55533,6
229,22189,4
230,47719,8
231,49638,3
232,52850,1
233,28754,9
234,11478,8
235,36384,4
236,31813,2
237,29814,4
238,53795,5
